Numer X Y H 
@1000 5593347.269 6576072.089 -0.004 
@10000 5593353.769 6576072.139 0.000 
@10001 5593353.819 6576072.139 0.001 
@10002 5593353.869 6576072.139 0.001 
@10003 5593353.919 6576072.139 0.001 
@10004 5593353.969 6576072.139 0.001 
@10005 5593354.019 6576072.139 0.001 
@10006 5593354.069 6576072.139 0.001 
@10007 5593354.119 6576072.139 0.002 
@10008 5593354.169 6576072.139 0.002 
@10009 5593354.219 6576072.139 0.003 
@1001 5593347.269 6576072.139 -0.003 
@10010 5593354.269 6576072.139 0.003 
@10011 5593354.319 6576072.139 0.004 
@10012 5593354.369 6576072.139 0.004 
@10013 5593354.419 6576072.139 0.004 
@10014 5593354.469 6576072.139 0.005 
@10015 5593354.519 6576072.139 0.005 
@10016 5593354.569 6576072.139 0.005 
@10017 5593354.619 6576072.139 0.005 
@10018 5593354.669 6576072.139 0.006 
@10019 5593354.719 6576072.139 0.006 
@1002 5593347.269 6576072.189 -0.003 
@10020 5593354.769 6576072.139 0.006 
@10021 5593354.819 6576072.139 0.006 
@10022 5593354.869 6576072.139 0.006 
@10023 5593354.919 6576072.139 0.007 
@10024 5593354.969 6576072.139 0.008 
@10025 5593355.019 6576072.139 0.008 
@10026 5593355.069 6576072.139 0.008 
@10027 5593355.119 6576072.139 0.008 
@10028 5593355.169 6576072.139 0.007 
@10029 5593355.219 6576072.139 0.008 
@1003 5593347.269 6576072.239 -0.003 
@10030 5593355.269 6576072.139 0.009 
@10031 5593355.319 6576072.139 0.009 
@10032 5593355.369 6576072.139 0.008 
@10033 5593355.419 6576072.139 0.009 
@10034 5593355.469 6576072.139 0.009 
@10035 5593355.519 6576072.139 0.008 
@10036 5593355.569 6576072.139 0.008 
@10037 5593355.619 6576072.139 0.008 
@10038 5593355.669 6576072.139 0.009 
@10039 5593355.719 6576072.139 0.009 
@1004 5593347.269 6576072.289 -0.004 
@10040 5593355.769 6576072.139 0.009 
@10041 5593355.819 6576072.139 0.009 
@10042 5593355.869 6576072.139 0.009 
@10043 5593355.919 6576072.139 0.010 
@10044 5593355.969 6576072.139 0.010 
@10045 5593356.019 6576072.139 0.010 
@10046 5593356.069 6576072.139 0.010 
@10047 5593356.119 6576072.139 0.010 
@10048 5593356.169 6576072.139 0.010 
@10049 5593356.219 6576072.139 0.010 
@1005 5593347.269 6576072.339 -0.004 
@10050 5593356.269 6576072.139 0.010 
@10051 5593356.319 6576072.139 0.010 
@10052 5593356.369 6576072.139 0.009 
@10053 5593356.419 6576072.139 0.010 
@10054 5593356.469 6576072.139 0.012 
@10055 5593356.519 6576072.139 0.011 
@10056 5593356.569 6576072.139 0.011 
@10057 5593356.619 6576072.139 0.011 
@10058 5593356.669 6576072.139 0.011 
@10059 5593356.719 6576072.139 0.012 
@1006 5593347.269 6576072.389 -0.003 
@10060 5593356.769 6576072.139 0.012 
@10061 5593356.819 6576072.139 0.012 
@10062 5593356.869 6576072.139 0.012 
@10063 5593356.919 6576072.139 0.012 
@10064 5593356.969 6576072.139 0.012 
@10065 5593357.019 6576072.139 0.012 
@10066 5593357.069 6576072.139 0.013 
@10067 5593346.769 6576072.239 -0.002 
@10068 5593346.819 6576072.239 -0.003 
@10069 5593346.869 6576072.239 -0.003 
@1007 5593347.269 6576072.439 -0.002 
@10070 5593346.919 6576072.239 -0.002 
@10071 5593346.969 6576072.239 -0.001 
@10072 5593347.019 6576072.239 -0.002 
@10073 5593347.069 6576072.239 -0.004 
@10074 5593347.119 6576072.239 -0.002 
@10075 5593347.169 6576072.239 -0.001 
@10076 5593347.219 6576072.239 -0.002 
@10077 5593347.269 6576072.239 -0.003 
@10078 5593347.319 6576072.239 -0.003 
@10079 5593347.369 6576072.239 -0.003 
@1008 5593347.269 6576072.489 -0.002 
